extension,variant,descr_mime,descr_encode
CSV,,text/csv,charset=UTF-8;srid=4326
CSV,Latin1,text/csv,charset=ISO-8859-1;srid=4326
CSV,Latin9,text/csv,charset=ISO-8859-15;srid=4326
CSV,MS-Windows,text/csv,charset=Windows-1252;srid=4326
CSV,ASCII,text/csv,charset=us-ascii;srid=4326
CSV,semicolon,text/csv,charset=UTF-8;delimiter=%3B;srid=4326
CSV,Latin1semicolon,text/csv,charset=ISO-8859-1;delimiter=%3B;srid=4326
CSV.ZIP,,application/zip;content=text/csv,charset=UTF-8;srid=4326
CSV.GZ,,application/gzip;content=text/csv,charset=UTF-8;srid=4326
GeoJSON,,application/geo+json,charset=UTF-8;srid=4326
GeoJSON.GZ,,application/gzip;content=application/geo+json,charset=UTF-8;srid=4326
SHP.ZIP,,application/zip;content=x-gis/x-shapefile,srid=4326
SHP,,x-gis/x-shapefile,charset=UTF-8;srid=4326
SHP,Latin1,x-gis/x-shapefile,charset=ISO-8859-1;srid=4326
SHP,MS-Windows,x-gis/x-shapefile,charset=Windows-1252;srid=4326
TAB,,,
TSV,,text/csv,charset=UTF-8;delimiter=%09;srid=4326
TXT,,text/plain,charset=UTF-8;delimiter=%7C;srid=4326
TXT,semicolon,text/csv,charset=us-ascii;delimiter=%3B;srid=4326
XLSX,,,
GDB,,,
